"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000165105",316.091066935177,-0.722844718100447,0.243988723831588,-2.96261526659481,0.0030503757503046,0.0981154870599932
"ENSG00000198380",707.867258386697,-0.669469174378708,0.225182807483327,-2.97300305409985,0.00294901516986409,0.0981154870599932
"ENSG00000227191",394.594719143073,-1.03215412896959,0.351170335244831,-2.93918371052039,0.00329077955078094,0.0981154870599932
"ENSG00000272060",654.74555945097,0.734878205057078,0.250319185718915,2.93576460368594,0.00332726705266756,0.0981154870599932
"ENSG00000142515",66932.256918592,-0.911998013856699,0.312305302441875,-2.92021303104976,0.00349792184366254,0.0994409209841207
"ENSG00000137124",238.599785756369,0.845669079251834,0.290818629028188,2.90789170582971,0.00363874321694608,0.102192182641317
"ENSG00000174099",335.88861414645,0.843280183411422,0.290169464861884,2.90616445053172,0.00365889096140393,0.102192182641317
"ENSG00000132688",263.515398053647,0.73310030410659,0.252766498583804,2.90030644177133,0.00372798001223514,0.102336102969947
"ENSG00000134871",1051.74900742236,0.66322071583671,0.228674923933318,2.9002774087731,0.00372832535945788,0.102336102969947
"ENSG00000116132",401.348053019798,0.753939507121934,0.260957143437003,2.88913151482263,0.00386307470287852,0.103737638718659
"ENSG00000116133",2739.02074527952,-0.682630248284181,0.235966028154751,-2.89291748317474,0.0038168155803934,0.103737638718659
"ENSG00000168542",2689.35888354737,0.595446832055807,0.206180406039215,2.88798942389586,0.00387712908527651,0.103737638718659
"ENSG00000115414",2412.87317880944,0.684247770408843,0.238305380340684,2.8713064280405,0.00408779054554239,0.105001733589106
"ENSG00000116406",264.077816733944,-0.757419103969306,0.263134172579128,-2.87845207084055,0.00399632001906661,0.105001733589106
"ENSG00000122786",3694.07619072641,0.69639090345148,0.241787433054162,2.88017824026232,0.00397450406161024,0.105001733589106
"ENSG00000142156",1193.43807733964,0.733165473387485,0.255578331106263,2.86865271486045,0.0041222414254517,0.105001733589106
"ENSG00000147065",556.27377524705,0.668401888069788,0.232463406532246,2.87529937739715,0.00403644572291492,0.105001733589106
"ENSG00000182240",333.14126788685,0.735972229741288,0.256422863413984,2.87015057839476,0.00410276370093632,0.105001733589106
"ENSG00000077157",1541.31652946436,0.726772098049763,0.254259495631545,2.858387240345,0.0042580041220508,0.107599088290554
"ENSG00000095637",1103.84884646889,0.757518213464771,0.266244895398562,2.84519337856519,0.00443844684099494,0.10955050187386
"ENSG00000107796",4232.30445201811,0.828014193605555,0.290825933283547,2.84711265002033,0.00441177476462353,0.10955050187386
"ENSG00000168386",485.532281309777,0.894425881735833,0.313947000672411,2.84897094038214,0.00438608864327542,0.10955050187386
"ENSG00000114391",236.217634032011,0.845530484380345,0.298146783317083,2.83595373719364,0.00456890637237917,0.111903060689656
